country,Revenue , cost ,date,category,customer_name,sales_manager,sales_rep,device_type,order_id,profit
Sweden,"17,524","14,123",12-02-2020,Books,Goldner-Dibbert,Maxie Marrow,Madelon Bront,Mobile,70-0511466,"3,401"
Finland,"1,16,563","92,808",26-09-2019,Games,Hilll-Vandervort,Hube Corey,Wat Bowkley,Mobile,28-6585323,"23,756"
Portugal,"2,96,466","2,57,480",11-07-2019,Clothing,Larkin-Collier,Celine Tumasian,Smitty Culverhouse,PC,58-7703341,"38,985"
Portugal,"74,532","59,752",02-04-2020,Beauty,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,PC,14-6700183,"14,780"
Spain,"1,78,763","1,46,622",22-12-2019,Games,Johns and Sons,Emalia Dinse,Bertha Walbrook,Tablet,15-8765160,"32,142"
Spain,"84,900","73,702",14-07-2020,Clothing,"Farrell, Swaniawski and Crist",Emalia Dinse,Perri Aldersley,PC,60-6998932,"11,198"
Portugal,"71,620","62,245",05-02-2019,Books,Schoen-Keeling,Celine Tumasian,Smitty Culverhouse,PC,69-6259390,"9,375"
UK,"1,56,585","1,26,599",30-08-2020,Accessories,"Hermiston, Simonis and Wisoky",Jessamine Apark,Winny Agnolo,PC,64-5761908,"29,986"
Portugal,"78,461","63,538",10-05-2020,Appliances,Hessel-Stiedemann,Celine Tumasian,Smitty Culverhouse,Mobile,91-4126746,"14,923"
France,"64,828","56,044",20-01-2019,Appliances,Gislason-Stanton,Othello Bowes,Maighdiln Upcraft,PC,62-3312495,"8,784"
Sweden,"1,42,664","1,20,808",04-05-2019,Appliances,"Swaniawski, Runolfsson and Green",Maxie Marrow,Madelon Bront,PC,85-6625096,"21,856"
UK,"66,673","52,812",23-02-2019,Smartphones,Gislason-Stanton,Jessamine Apark,Winny Agnolo,PC,25-6368157,"13,861"
Portugal,"1,36,916","1,14,790",04-01-2020,Outdoors,Hessel-Stiedemann,Celine Tumasian,Aurelie Wren,Tablet,15-3943365,"22,126"
UK,"1,64,972","1,32,687",20-07-2019,Accessories,Wisoky Inc,Jessamine Apark,Winny Agnolo,PC,32-3534634,"32,285"
UK,"1,49,486","1,18,662",06-08-2019,Beauty,Johns and Sons,Jessamine Apark,Genevra Charrisson,PC,02-3972649,"30,824"
Sweden,"54,079","46,102",08-11-2020,Books,Tillman and Sons,Maxie Marrow,Anita Woakes,PC,08-7576451,"7,977"
France,"1,07,500","91,364",26-02-2019,Smartphones,"Rowe, Hermiston and Kessler",Othello Bowes,Amelina Piscopiello,PC,68-3583935,"16,136"
UK,"29,494","24,285",22-11-2019,Games,Tillman and Sons,Jessamine Apark,Jay Morefield,PC,53-7769693,"5,209"
Portugal,"1,47,657","1,24,194",05-06-2019,Smartphones,Goldner-Dibbert,Celine Tumasian,Corene Shirer,PC,85-4732103,"23,463"
Portugal,"1,56,839","1,34,709",11-05-2020,Smartphones,Stamm Inc,Celine Tumasian,Corene Shirer,PC,27-9800293,"22,130"
Spain,"81,412","64,747",06-11-2019,Electronics,Johns and Sons,Emalia Dinse,Bertha Walbrook,PC,67-3929836,"16,665"
Sweden,"56,718","45,102",10-03-2019,Clothing,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,13-0526029,"11,616"
Netherlands,"17,028","14,103",07-02-2020,Clothing,Johns and Sons,Denice Amberg,Nero Harbisher,PC,38-5910704,"2,925"
Finland,"2,36,462","2,05,675",23-12-2020,Clothing,Hessel-Stiedemann,Hube Corey,Wat Bowkley,PC,41-6407014,"30,787"
Portugal,"1,72,989","1,42,976",10-06-2020,Beauty,Romaguera-Dietrich,Celine Tumasian,Hortense Gerring,PC,22-6745595,"30,014"
Sweden,"48,180","41,406",14-08-2020,Books,Franecki-White,Maxie Marrow,Anita Woakes,PC,96-3022721,"6,774"
Portugal,"1,21,319","1,02,890",10-03-2020,Electronics,"Jacobson, Marvin and Brown",Celine Tumasian,Aurelie Wren,Tablet,48-0713329,"18,428"
Belgium,"93,154","79,703",03-04-2020,Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,Mobile,50-0942872,"13,451"
Bulgaria,"98,289","84,116",15-02-2019,Appliances,"Murray, Reichel and Nolan",Charil Alpe,Shermy McGready,PC,78-2307905,"14,173"
Luxembourg,"1,08,921","94,271",08-07-2019,Books,"Swaniawski, Runolfsson and Green",Ilsa Kob,Jocelyn Laurentino,PC,63-0019978,"14,650"
Portugal,"37,274","31,560",20-01-2020,Games,Considine-Fisher,Celine Tumasian,Aurelie Wren,Tablet,26-9948924,"5,714"
Spain,"2,21,745","1,90,767",25-06-2019,Appliances,Kirlin and Sons,Emalia Dinse,Bertha Walbrook,Mobile,72-7630507,"30,978"
Netherlands,"54,567","43,757",23-03-2020,Smartphones,Friesen-Rath,Denice Amberg,Nero Harbisher,PC,36-3410564,"10,810"
Portugal,"1,11,639","97,204",28-10-2019,Smartphones,"Keeling, Monahan and Pollich",Celine Tumasian,Hortense Gerring,PC,82-4653018,"14,435"
Sweden,"74,274","61,981",28-03-2020,Beauty,"Swaniawski, Runolfsson and Green",Maxie Marrow,Caro Morfield,PC,29-1001593,"12,292"
Portugal,"95,566","80,343",07-05-2019,Clothing,Hessel-Stiedemann,Celine Tumasian,Hortense Gerring,PC,59-5568557,"15,224"
France,"28,783","24,776",29-03-2019,Clothing,Dibbert Inc,Othello Bowes,Maighdiln Upcraft,PC,12-1249283,"4,007"
UK,"1,24,415","98,959",13-06-2019,Outdoors,Labadie and Sons,Jessamine Apark,Winny Agnolo,PC,96-0180648,"25,455"
Portugal,"1,53,030","1,25,117",28-01-2020,Games,Friesen-Rath,Celine Tumasian,Corene Shirer,PC,51-9029547,"27,913"
Sweden,"1,74,920","1,46,845",03-11-2020,Clothing,Wiza and Sons,Maxie Marrow,Caro Morfield,Mobile,84-2614836,"28,075"
France,"55,804","46,401",05-03-2019,Electronics,"Rowe, Hermiston and Kessler",Othello Bowes,Crysta Halls,PC,57-6995715,"9,403"
France,"89,161","75,368",18-11-2019,Beauty,Wiza and Sons,Othello Bowes,Crysta Halls,PC,27-4115444,"13,793"
UK,"27,987","24,002",26-03-2019,Games,Labadie and Sons,Jessamine Apark,Genevra Charrisson,PC,34-3302340,"3,985"
France,"18,326","15,068",03-02-2019,Games,"Schmitt, Purdy and Johnson",Othello Bowes,Ora Grennan,PC,25-6638623,"3,258"
Netherlands,"62,709","51,415",29-08-2019,Smartphones,"Hamill, Kulas and Roob",Denice Amberg,Nero Harbisher,PC,11-5260310,"11,294"
UK,"1,24,668","1,03,998",05-11-2020,Games,Hessel-Stiedemann,Jessamine Apark,Winny Agnolo,PC,68-5024232,"20,670"
Italy,"1,09,391","87,414",12-11-2020,Other,Schoen-Keeling,Piggy Roscrigg,Joshua Prevost,Mobile,90-2530115,"21,977"
Portugal,"1,03,280","82,335",12-03-2020,Appliances,Johns and Sons,Celine Tumasian,Aurelie Wren,PC,23-8271333,"20,945"
France,"1,73,479","1,39,650",29-01-2019,Books,Johns and Sons,Othello Bowes,Avrit Chanders,PC,99-7422044,"33,828"
Sweden,"57,928","48,914",18-01-2019,Games,"Fisher, Morar and Skiles",Maxie Marrow,Alyosha Meah,Mobile,67-6692861,"9,014"
Portugal,"84,768","68,950",18-01-2020,Electronics,McGlynn-Bergstrom,Celine Tumasian,Smitty Culverhouse,Mobile,20-3441688,"15,818"
France,"1,38,176","1,16,745",03-11-2020,Other,"Spencer, Rogahn and Muller",Othello Bowes,Ora Grennan,PC,80-8230605,"21,431"
Portugal,"1,43,108","1,21,241",02-11-2020,Electronics,Kirlin and Sons,Celine Tumasian,Hortense Gerring,Mobile,18-0704377,"21,867"
Sweden,"54,447","44,989",09-03-2020,Appliances,Wunsch LLC,Maxie Marrow,Alyosha Meah,Tablet,47-5524071,"9,457"
Portugal,"1,36,325","1,10,437",29-10-2019,Electronics,Walter LLC,Celine Tumasian,Hortense Gerring,Tablet,76-2572347,"25,888"
Portugal,"43,067","36,154",08-02-2019,Games,"Hamill, Kulas and Roob",Celine Tumasian,Hortense Gerring,Mobile,74-4429133,"6,912"
France,"2,24,626","1,89,989",21-07-2020,Electronics,"Christiansen, Donnelly and Bechtelar",Othello Bowes,Ora Grennan,PC,69-1300467,"34,637"
France,"1,15,689","98,128",15-07-2019,Clothing,Altenwerth-Konopelski,Othello Bowes,Avrit Chanders,PC,99-8643527,"17,562"
Bulgaria,"78,294","66,237",13-10-2019,Appliances,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,Mobile,14-1143584,"12,057"
Portugal,"92,698","73,454",13-01-2020,Clothing,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,62-4331197,"19,244"
Bulgaria,"83,141","72,001",15-03-2019,Outdoors,Wisoky Inc,Charil Alpe,Shermy McGready,Mobile,02-3333733,"11,141"
Portugal,"38,982","32,854",12-10-2019,Clothing,Hegmann Group,Celine Tumasian,Smitty Culverhouse,Mobile,09-3959499,"6,128"
Portugal,"57,121","49,655",25-11-2019,Games,"Leffler, Prohaska and Streich",Celine Tumasian,Aurelie Wren,PC,55-7848276,"7,466"
Sweden,"2,40,759","2,05,416",14-06-2020,Appliances,"Schmitt, Purdy and Johnson",Maxie Marrow,Tarrah Castelletti,PC,98-1814878,"35,343"
Sweden,"53,849","47,355",15-04-2020,Games,"Rowe, Hermiston and Kessler",Maxie Marrow,Alyosha Meah,PC,83-9569509,"6,494"
Ireland,"3,61,183","2,88,368",02-12-2019,Books,Smith Group,Glenine Suttaby,Bunnie Tonbridge,PC,44-1953194,"72,814"
Sweden,"97,063","78,068",19-10-2019,Appliances,"Zieme, Bailey and Herzog",Maxie Marrow,Madelon Bront,Tablet,50-0376562,"18,995"
Spain,"39,111","34,316",27-10-2019,Clothing,"Bashirian, Okuneva and Bechtelar",Emalia Dinse,Perri Aldersley,PC,06-9596696,"4,795"
France,"1,23,673","1,06,037",13-11-2020,Smartphones,McGlynn-Prosacco,Othello Bowes,Crysta Halls,PC,46-2632808,"17,636"
France,"1,44,641","1,18,345",11-04-2019,Electronics,"Murray, Reichel and Nolan",Othello Bowes,Avrit Chanders,PC,77-7771177,"26,296"
France,"2,68,779","2,33,676",27-12-2019,Smartphones,O'Connell-Mitchell,Othello Bowes,Ora Grennan,Mobile,13-0624842,"35,103"
Sweden,"53,594","45,630",12-07-2020,Electronics,Friesen-Rath,Maxie Marrow,Caro Morfield,PC,71-4409662,"7,964"
France,"1,55,044","1,34,268",25-10-2019,Beauty,West-Cummings,Othello Bowes,Amelina Piscopiello,PC,46-0270404,"20,776"
Portugal,"1,02,495","85,009",08-08-2020,Smartphones,"Hermiston, Simonis and Wisoky",Celine Tumasian,Hortense Gerring,Tablet,70-7107956,"17,486"
Portugal,"2,94,473","2,55,573",11-06-2019,Smartphones,Gislason-Stanton,Celine Tumasian,Smitty Culverhouse,Tablet,84-5310661,"38,900"
Sweden,"64,054","54,734",01-09-2020,Beauty,Armstrong-Little,Maxie Marrow,Anita Woakes,PC,75-6638402,"9,320"
UK,"24,544","19,493",22-03-2019,Clothing,Hessel-Stiedemann,Jessamine Apark,Jay Morefield,PC,53-0615558,"5,051"
Portugal,"1,61,544","1,32,579",12-09-2019,Clothing,Johns and Sons,Celine Tumasian,Smitty Culverhouse,PC,00-2549549,"28,965"
Portugal,"50,304","41,103",06-01-2020,Appliances,"Christiansen, Donnelly and Bechtelar",Celine Tumasian,Smitty Culverhouse,PC,23-1397222,"9,201"
Sweden,"1,24,593","1,09,106",11-01-2020,Appliances,Johns and Sons,Maxie Marrow,Madelon Bront,Mobile,00-4698524,"15,487"
Sweden,"44,148","37,164",18-05-2020,Beauty,"Murray, Reichel and Nolan",Maxie Marrow,Madelon Bront,PC,76-3837496,"6,984"
Bulgaria,"42,240","37,040",17-05-2019,Smartphones,Johns and Sons,Charil Alpe,Shermy McGready,PC,61-7979087,"5,200"
Sweden,"1,13,763","91,159",01-04-2020,Books,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Madelon Bront,PC,52-8377955,"22,605"
Portugal,"1,83,364","1,55,034",24-06-2019,Smartphones,Johns and Sons,Celine Tumasian,Hortense Gerring,PC,87-6162387,"28,330"
France,"85,221","73,767",15-09-2019,Beauty,"Shanahan, Schaden and Parker",Othello Bowes,Crysta Halls,Tablet,11-8965256,"11,454"
Portugal,"87,513","72,470",05-03-2020,Books,"Lubowitz, McLaughlin and Erdman",Celine Tumasian,Corene Shirer,Mobile,16-9079414,"15,044"
Bulgaria,"37,074","30,275",26-04-2019,Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,Tablet,15-9091881,"6,799"
France,"1,22,140","1,03,685",02-11-2019,Smartphones,Smith Group,Othello Bowes,Ora Grennan,PC,07-3222085,"18,455"
France,"1,07,586","94,525",07-06-2020,Electronics,"Spencer, Rogahn and Muller",Othello Bowes,Amelina Piscopiello,PC,20-3384992,"13,061"
UK,"2,03,958","1,76,444",02-12-2020,Appliances,Larkin-Collier,Jessamine Apark,Genevra Charrisson,PC,09-3404706,"27,514"
Portugal,"55,132","47,122",11-06-2019,Clothing,"Dickinson, Hyatt and Berge",Celine Tumasian,Hortense Gerring,PC,97-8712680,"8,011"
Ireland,"1,35,424","1,16,275",15-01-2020,Electronics,"Hamill, Kulas and Roob",Glenine Suttaby,Palm Wetherald,PC,43-4245267,"19,149"
Sweden,"1,67,124","1,32,947",01-08-2019,Smartphones,Hegmann Group,Maxie Marrow,Alyosha Meah,PC,58-8969119,"34,177"
Germany,"92,868","79,068",30-03-2020,Electronics,"Fisher, Morar and Skiles",Rickard Doogood,Casie MacBain,PC,88-8436664,"13,800"
Portugal,"1,08,689","91,223",09-11-2019,Appliances,Walter LLC,Celine Tumasian,Brynn Dempster,Mobile,35-6825112,"17,466"
Portugal,"79,874","68,133",14-11-2020,Outdoors,"Farrell, Swaniawski and Crist",Celine Tumasian,Smitty Culverhouse,PC,24-4511396,"11,742"
Germany,"1,53,011","1,31,544",13-09-2019,Appliances,Johns and Sons,Rickard Doogood,Casie MacBain,PC,99-0564964,"21,468"
Portugal,"72,857","60,443",10-05-2020,Clothing,Armstrong-Little,Celine Tumasian,Brynn Dempster,PC,47-9920494,"12,415"
France,"1,02,771","83,584",24-11-2019,Accessories,McClure Inc,Othello Bowes,Maighdiln Upcraft,PC,82-9352154,"19,187"
UK,"90,559","75,318",26-08-2019,Outdoors,"Dickinson, Hyatt and Berge",Jessamine Apark,Genevra Charrisson,PC,74-6920956,"15,241"
Portugal,"1,41,797","1,12,317",16-09-2020,Games,Johns and Sons,Celine Tumasian,Corene Shirer,PC,16-8778373,"29,480"
Bulgaria,"1,03,874","82,112",14-01-2019,Outdoors,Johns and Sons,Charil Alpe,Shermy McGready,PC,85-4014655,"21,762"
Spain,"1,34,908","1,14,389",18-08-2020,Clothing,Romaguera-Dietrich,Emalia Dinse,Perri Aldersley,PC,25-2355172,"20,520"
Portugal,"45,257","38,975",14-01-2019,Other,"Spencer, Rogahn and Muller",Celine Tumasian,Smitty Culverhouse,PC,31-7667796,"6,282"
Portugal,"1,31,019","1,07,920",02-04-2020,Clothing,Hane Inc,Celine Tumasian,Brynn Dempster,PC,39-2536155,"23,099"
Ireland,"84,878","68,454",01-12-2019,Electronics,"Zieme, Bailey and Herzog",Glenine Suttaby,Bunnie Tonbridge,PC,30-8840089,"16,424"
France,"1,68,198","1,44,246",13-01-2019,Smartphones,Kihn Inc,Othello Bowes,Crysta Halls,PC,93-8309926,"23,951"
UK,"3,83,997","3,04,701",19-12-2019,Other,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,42-7823733,"79,295"
France,"56,811","48,221",07-10-2019,Clothing,"Schowalter, Lesch and Beahan",Othello Bowes,Ora Grennan,PC,03-9337803,"8,590"
Portugal,"74,364","60,146",21-01-2020,Clothing,Altenwerth-Konopelski,Celine Tumasian,Aurelie Wren,Mobile,42-1879788,"14,218"
Finland,"2,35,609","2,01,469",27-07-2020,Games,Hegmann Group,Hube Corey,Wat Bowkley,Tablet,42-8394841,"34,140"
Sweden,"31,627","25,662",27-08-2020,Beauty,"Christiansen, Donnelly and Bechtelar",Maxie Marrow,Caro Morfield,Mobile,84-5642889,"5,965"
Sweden,"57,228","46,332",28-03-2019,Appliances,Johns and Sons,Maxie Marrow,Alyosha Meah,PC,92-7234550,"10,896"
Portugal,"84,599","72,391",28-04-2020,Clothing,"Hamill, Kulas and Roob",Celine Tumasian,Brynn Dempster,PC,98-5721101,"12,208"
Sweden,"98,323","84,872",09-10-2020,Clothing,Hessel-Stiedemann,Maxie Marrow,Tarrah Castelletti,PC,32-9344186,"13,451"
Netherlands,"62,568","49,916",21-04-2019,Clothing,Hessel-Stiedemann,Denice Amberg,Nero Harbisher,PC,40-7356336,"12,651"
Sweden,"2,39,424","1,99,153",08-12-2019,Electronics,"Hamill, Kulas and Roob",Maxie Marrow,Madelon Bront,Mobile,94-1762263,"40,271"
France,"68,773","59,083",30-09-2019,Games,Hessel-Stiedemann,Othello Bowes,Amelina Piscopiello,PC,26-5649751,"9,690"
Germany,"1,02,918","87,480",28-10-2019,Smartphones,"Swaniawski, Runolfsson and Green",Rickard Doogood,Casie MacBain,PC,88-5343320,"15,438"
UK,"1,50,313","1,18,928",23-01-2020,Beauty,Johns and Sons,Jessamine Apark,Jay Morefield,PC,09-6527060,"31,385"
Sweden,"1,44,073","1,23,730",13-07-2019,Beauty,"Fisher, Morar and Skiles",Maxie Marrow,Anita Woakes,PC,85-3431441,"20,343"
Sweden,"69,681","55,529",25-01-2020,Clothing,Romaguera-Dietrich,Maxie Marrow,Alyosha Meah,PC,78-3301264,"14,152"
Sweden,"78,543","68,010",26-05-2019,Games,Kihn Inc,Maxie Marrow,Caro Morfield,PC,02-9523107,"10,533"
Portugal,"37,582","31,967",07-05-2020,Appliances,Hilll-Vandervort,Celine Tumasian,Smitty Culverhouse,Mobile,19-9205287,"5,615"
Sweden,"88,329","73,755",16-08-2020,Clothing,Corwin and Sons,Maxie Marrow,Caro Morfield,Mobile,94-1199389,"14,574"
Portugal,"2,49,099","2,15,695",15-06-2020,Other,Johns and Sons,Celine Tumasian,Corene Shirer,PC,88-4621939,"33,404"
UK,"28,329","24,408",19-02-2019,Clothing,"Dickinson, Hyatt and Berge",Jessamine Apark,Jay Morefield,PC,68-9634139,"3,921"
Portugal,"1,62,247","1,42,664",28-08-2019,Games,Hessel-Stiedemann,Celine Tumasian,Corene Shirer,PC,44-5200140,"19,583"
Germany,"1,61,217","1,35,696",20-10-2019,Games,Labadie and Sons,Rickard Doogood,Casie MacBain,PC,98-6247105,"25,521"
France,"37,397","30,838",17-05-2020,Games,Hegmann Group,Othello Bowes,Avrit Chanders,PC,24-6566439,"6,560"
UK,"99,064","85,393",10-07-2020,Books,Johns and Sons,Jessamine Apark,Winny Agnolo,PC,52-9152387,"13,671"
Sweden,"15,817","13,743",10-03-2019,Clothing,Kihn Inc,Maxie Marrow,Anita Woakes,PC,26-9787272,"2,074"
Portugal,"38,930","32,838",18-11-2020,Outdoors,"Spencer, Rogahn and Muller",Celine Tumasian,Brynn Dempster,PC,12-2202467,"6,093"
Portugal,"28,860","23,656",09-01-2019,Electronics,Larkin-Collier,Celine Tumasian,Corene Shirer,Mobile,82-0537890,"5,203"
France,"54,079","45,032",29-05-2020,Games,"Lueilwitz, Kerluke and Lesch",Othello Bowes,Avrit Chanders,PC,15-6838362,"9,047"
Sweden,"70,597","60,565",09-02-2020,Electronics,Hilll-Vandervort,Maxie Marrow,Alyosha Meah,PC,51-0685379,"10,032"
UK,"1,69,630","1,35,347",23-10-2019,Outdoors,Johns and Sons,Jessamine Apark,Jay Morefield,PC,76-5919033,"34,282"
Portugal,"95,388","76,196",08-05-2020,Books,Gislason-Stanton,Celine Tumasian,Aurelie Wren,PC,34-7627348,"19,192"
France,"50,586","41,000",29-08-2020,Beauty,"Bashirian, Okuneva and Bechtelar",Othello Bowes,Maighdiln Upcraft,Tablet,32-1940437,"9,586"
Sweden,"1,03,727","90,232",21-05-2020,Clothing,Dibbert Inc,Maxie Marrow,Caro Morfield,Mobile,25-9913528,"13,495"
